Date,Open,High,Low,Close,Volume
1/8/2016 16:00:00,743,752,713,714.47,12570522
1/15/2016 16:00:00,716.61,734.74,685.37,694.45,12387727
1/22/2016 16:00:00,703.3,728.13,673.26,725.25,10114656
1/29/2016 16:00:00,723.58,744.9899,694.39,742.95,11221862
2/5/2016 16:00:00,750.46,789.8699,680.15,683.57,27512420
2/12/2016 16:00:00,667.85,701.31,663.06,682.4,15581309
2/19/2016 16:00:00,692.98,712.35,685.05,700.91,8405222
2/26/2016 16:00:00,707.45,713.43,680.78,705.07,9776210
3/4/2016 16:00:00,700.32,720,697.68,710.89,9980109
3/11/2016 16:00:00,706.9,726.92,685.34,726.82,11260474
3/18/2016 16:00:00,726.81,743.07,724.51,737.6,9663380
3/24/2016 16:00:00,736.5,745.7199,731,735.3,6082878
4/1/2016 16:00:00,736.79,757.88,728.76,749.91,8270183
4/8/2016 16:00:00,750.06,752.8,735.37,739.15,6027124
4/15/2016 16:00:00,743.02,761,731.01,759,7199975
4/22/2016 16:00:00,760.46,769.9,713.61,718.77,13792005
4/29/2016 16:00:00,716.1,725.766,689,693.01,13104855
5/6/2016 16:00:00,697.63,711.86,689.01,711.12,8367239
5/13/2016 16:00:00,712,724.48,709,710.83,7426421
5/20/2016 16:00:00,709.13,721.52,696.8,709.74,8551375
5/27/2016 16:00:00,706.53,733.936,704.18,732.66,8387428
6/3/2016 16:00:00,731.74,739.73,720.56,722.34,5951198
6/10/2016 16:00:00,724.91,729.54,714.61,719.41,6691871
6/17/2016 16:00:00,716.51,725.44,688.4515,691.72,9164340
6/24/2016 16:00:00,698.77,702.77,673.45,675.22,11352927
7/1/2016 16:00:00,671,700.65,663.284,699.21,9689832
7/8/2016 16:00:00,696.06,705.71,688.215,705.63,5753907
7/15/2016 16:00:00,708.05,725.74,707.24,719.85,5614091
7/22/2016 16:00:00,722.71,743.24,721.19,742.74,6098762
7/29/2016 16:00:00,740.67,778.55,734.27,768.79,11103338
8/5/2016 16:00:00,761.09,783.04,761.09,782.22,8713875
8/12/2016 16:00:00,782,789.75,778.091,783.22,4928725
8/19/2016 16:00:00,783.75,787.49,773.13,775.42,4471434
8/26/2016 16:00:00,773.27,776.44,763.1846,769.54,5045157
9/2/2016 16:00:00,768.74,774.99,764.3,771.46,5223939
9/9/2016 16:00:00,773.45,782.73,759.66,759.66,5492603
9/16/2016 16:00:00,755.13,773.8,754.0001,768.88,7196611
